PLAYER,TEAM,POSITION,FGM_<5,FG%_<5,FGM_5-9,FG%_5-9,FGM_10-14,FG%_10-14,FGM_15-19,FG%_15-19,FGM_20-24,FG%_20-24,FGM_25-29,FG%_25-29
Norman Powell,TOR,F-G,1.7,60.4,0.2,56.0,0.0,12.5,0.1,31.8,0.6,48.1,0.5,34.1
Kyle Korver,UTA,G-F,0.2,75.0,0.1,40.0,0.1,41.2,0.2,45.5,1.3,43.5,0.9,36.3
Trey Lyles,DEN,F,1.7,65.0,0.4,35.8,0.2,34.1,0.1,56.3,0.5,30.6,0.4,21.5
Rodions Kurucs,BKN,F,2.2,59.4,0.0,15.0,0.0,28.6,0.0,50.0,0.4,34.6,0.5,30.5
Langston Galloway,DET,G,0.5,52.4,0.2,35.1,0.1,28.0,0.3,46.2,1.0,41.3,0.7,30.7
Noah Vonleh,NYK,F,1.8,56.4,0.5,49.2,0.0,37.5,0.1,35.7,0.2,33.3,0.5,34.0
DeAndre' Bembry,ATL,F,2.4,58.2,0.2,27.4,0.1,33.3,0.0,25.0,0.2,22.4,0.4,35.2
Mikal Bridges,PHX,F,1.4,63.3,0.1,33.3,0.1,28.6,0.0,36.4,0.7,32.2,0.6,35.3
Bruno Caboclo,MEM,F,1.2,56.8,0.1,20.0,0.0,0.0,0.0,100.0,0.8,37.3,0.6,40.0
Darius Miller,NOP,F,0.2,68.4,0.1,40.0,0.2,44.4,0.3,43.8,0.8,38.8,1.2,35.4
Jahlil Okafor,NOP,C,2.7,66.4,0.7,44.9,0.3,46.7,0.1,50.0,0.0,0.0,0.0,33.3
Richaun Holmes,PHX,F-C,2.7,69.0,0.3,38.7,0.2,37.9,0.0,0.0,0.0,0.0,0.0,0.0
Markelle Fultz,ORL,G,1.9,56.1,0.3,40.0,0.6,34.4,0.3,20.0,0.2,40.0,0.1,50.0
Austin Rivers,HOU,G,1.3,57.8,0.3,42.4,0.1,31.3,0.0,33.3,0.5,33.6,0.9,31.7
Frank Jackson,NOP,G,1.7,62.0,0.3,34.6,0.2,41.9,0.1,26.9,0.5,28.6,0.4,34.2
Isaiah Thomas,DEN,G,1.0,48.0,0.4,31.3,0.3,25.0,0.2,66.7,0.3,20.0,0.7,34.8
Kyle Anderson,MEM,F,2.2,65.3,0.6,49.1,0.1,38.5,0.2,40.9,0.3,46.4,0.0,8.3
Davis Bertans,SAS,F,0.4,70.7,0.1,29.2,0.1,47.8,0.1,50.0,0.5,47.6,1.4,42.0
Jamal Crawford,PHX,G,0.2,50.0,0.1,32.0,0.5,49.2,0.8,50.0,0.4,27.7,0.7,35.9
Seth Curry,POR,G,0.5,54.5,0.1,45.8,0.2,50.0,0.4,47.8,0.8,39.7,0.8,44.4
Josh Hart,LAL,G,1.3,61.6,0.0,16.7,0.1,21.7,0.1,33.3,0.6,35.5,0.8,32.5
Garrett Temple,LAC,G-F,1.1,65.6,0.1,30.8,0.1,41.7,0.2,39.0,0.7,33.1,0.5,32.8
James Johnson,MIA,F,1.7,61.9,0.2,27.9,0.1,23.8,0.1,40.0,0.4,32.9,0.5,34.2
